date,itemId,unitsListed,listings,sellers,minPrice,maxPrice,lastUpload
2026-09-07,24515,9,9,9,4000,96966,1788752295854
2026-09-07,24522,3,3,3,7629,50000,1788433903679
2026-09-07,24524,5,5,5,3030,6500,1788673414182
2026-09-07,24525,11,11,8,38993,100000,1788771804944
2026-09-07,24526,12,12,3,30000,59960,1788697487872
2026-09-07,24536,6,6,6,35000,90000,1788741192586
2026-09-07,24538,3,3,2,30000,30097,1788680176955
2026-09-07,24539,15,15,10,9000,69598,1788722045078
2026-09-07,27268,20,20,14,6994,499997,1788715459790
2026-09-07,27269,8,8,7,1000,98995,1788502865789
2026-09-07,27271,5,5,3,30000,46460,1788279199491
2026-09-07,27272,11,11,3,5000,75000,1788745175744
2026-09-07,27274,7,7,4,14990,50000,1788744944303
2026-09-07,27295,11,11,11,150,2000000,1788755493354
2026-09-07,27296,21,21,5,18995,39999,1788725603525
2026-09-07,27297,1,1,1,37030,37030,1788753750578
2026-09-08,6347,7,7,6,19999,200000,1788656373392
2026-09-08,6348,5,5,5,23999,50001,1787771000584
2026-09-08,6349,3,3,3,10001,17176,1788303744163
2026-09-08,6350,2,2,2,7999,500000,1788395589595
2026-09-08,6351,3,3,3,2100,9501,1787857139060
2026-09-08,6352,1,1,1,13632,13632,1787770988137
2026-09-08,6356,10,10,10,176,17000,1788708697527
2026-09-08,6357,8,8,8,3495,8999,1788701687010
2026-09-08,6358,1,1,1,1000,1000,1788833844293
2026-09-08,6359,3,3,3,1899,4299,1788111633656
2026-09-08,6360,8,8,8,5000,41000,1788433767219
2026-09-08,6361,6,6,6,1590,10632,1788548508654
2026-09-08,6365,5,5,4,4155,4300,1788562539579
2026-09-08,6366,7,7,7,1485,2900,1788666434722
2026-09-08,6367,5,5,5,7998,12900,1788748357571
2026-09-08,6368,3,3,3,5588,6995,1788739080301
2026-09-08,6369,6,6,6,832,3300,1786876515932
2026-09-08,6370,8,8,8,1000,6020,1786820822248
2026-09-08,6374,3,3,3,16999,58203,1788193756985
2026-09-08,6375,7,7,6,24203,69420,1787522974684
2026-09-08,6376,0,0,0,,,0
2026-09-08,6377,8,8,8,3998,25000,1788312717308
2026-09-08,6378,9,9,9,3900,39999,1788812511266
2026-09-08,6379,1,1,1,7500,7500,1788748231475
2026-09-08,6383,11,11,11,495,34202,1788832837435
2026-09-08,6384,10,10,10,2300,8100,1788815215011
2026-09-08,6385,4,4,4,13000,18000,1788622403262
2026-09-08,6386,8,8,8,729,23998,1788661341570
2026-09-08,6387,13,13,13,1244,13000,1787268377004
2026-09-08,6388,1,1,1,1000,1000,1788481916340
2026-09-08,6392,6,6,6,302,50000,1788739010407
2026-09-08,6393,9,9,9,1900,6500,1788800385581
2026-09-08,6394,9,9,9,200,9999,1788394563766
2026-09-08,6395,2,2,2,1999,4500,1788739014973
2026-09-08,6396,7,7,6,990,34729,1787429010116
2026-09-08,6397,11,11,11,1499,6500,1788186455002
2026-09-08,6401,6,6,6,2996,5000,1788827267819
2026-09-08,6402,15,15,6,800,15000,1788818853222
2026-09-08,6403,4,4,4,4999,23998,1788620691368
2026-09-08,6404,10,10,10,400,55000,1787175898789
2026-09-08,6405,13,13,10,25,2950,1788616674024
2026-09-08,6406,6,6,6,1000,55000,1786118268154
2026-09-08,6407,8,8,8,147,5500,1788739095357
2026-09-08,6408,7,7,7,6000,29999,1788616499540
2026-09-08,6409,8,8,8,1250,3035,1788701696469
2026-09-08,6410,5,5,5,20162,20174,1788827257690
2026-09-08,6411,2,2,2,19999,19999,1788824598915
2026-09-08,6412,1,1,1,35000,35000,1788748544555
2026-09-08,6413,7,7,7,3390,10000,1788635701812
2026-09-08,6414,7,7,7,8994,19995,1788404635873
2026-09-08,6415,6,6,6,3174,12990,1788404644088
2026-09-08,6416,3,3,3,17484,19900,1788739091532
2026-09-08,6417,10,10,10,500,10000,1788646779727
2026-09-08,6418,3,3,3,1152,6966,1787699088152
2026-09-08,6419,3,3,3,1498,9990,1788379932405
2026-09-08,6420,0,0,0,,,0
2026-09-08,6421,0,0,0,,,0
2026-09-08,6422,8,8,8,400,24292,1788616491573
2026-09-08,6423,1,1,1,20000,20000,1788669829708
2026-09-08,6424,4,4,4,500,1999,1788396065618
2026-09-08,6425,7,7,7,3998,9900,1788838017249
2026-09-08,6426,3,3,3,3500,3982,1788740725600
2026-09-08,6427,8,8,8,2000,11994,1788803935216
2026-09-08,6428,0,0,0,,,0
2026-09-08,6429,5,5,5,3000,5000,1787699102463
2026-09-08,6430,0,0,0,,,0
2026-09-08,6431,4,4,4,3500,19999,1788446450219
2026-09-08,6432,3,3,3,14000,20000,1787666557168
2026-09-08,6433,10,10,10,2246,5500,1788808875762
2026-09-08,6434,8,8,8,2487,29000,1787792466745
2026-09-08,6435,5,5,5,3000,4998,1788693517050
2026-09-08,6436,6,6,6,903,5000,1788780131026
2026-09-08,6437,0,0,0,,,0
2026-09-08,6438,0,0,0,,,0
2026-09-08,6439,2,2,2,29000,29998,1788477310221
2026-09-08,6440,5,5,5,1600,6252,1788749324099
2026-09-08,6441,5,5,5,4490,15000,1788838006026
2026-09-08,6442,5,5,5,799,2900,1788396077945
2026-09-08,6443,5,5,4,1742,14999,1788656382346
2026-09-08,6444,4,4,4,8400,9000,1788656390911
2026-09-08,6445,1,1,1,3990,3990,1788656397617
2026-09-08,6446,0,0,0,,,0
2026-09-08,6447,7,7,7,9500,40015,1788502803578
2026-09-08,6448,8,8,8,9996,50000,1788622409022
2026-09-08,6449,2,2,2,19999,20000,1788755405535
2026-09-08,6450,0,0,0,,,0
2026-09-08,6451,7,7,7,1218,11000,1788312695214
2026-09-08,6452,0,0,0,,,0
2026-09-08,6453,3,3,3,9500,22900,1788823777563
2026-09-08,6454,5,5,5,5000,89000,1788494338587
2026-09-08,6455,0,0,0,,,0
2026-09-08,6456,2,2,2,39900,40000,1788661372057
2026-09-08,6457,0,0,0,,,0
2026-09-08,6458,0,0,0,,,0
2026-09-08,6459,2,2,2,17000,17900,1788405040175
2026-09-08,6460,5,5,4,22900,22951,1788593130743
2026-09-08,6475,21,21,13,97994,159500,1788842016875
2026-09-08,6476,7,7,4,98993,98999,1788745813464
2026-09-08,6477,11,11,10,74997,300000,1788835110497
2026-09-08,6478,3,3,3,17995,20000,1788826948612
2026-09-08,6479,5,5,5,14999,1000000,1788842691103
2026-09-08,6480,5,5,5,62999,81800,1788800552962
2026-09-08,6481,2,2,2,20000,60000,1788647469796
2026-09-08,6482,14,14,13,9960,65500,1788842202304
2026-09-08,6483,1,1,1,600000,600000,1788845080129
2026-09-08,6484,7,7,7,1000,2500,1788582146943
2026-09-08,6485,2,2,2,2500,3500,1788582151181
2026-09-08,6486,0,0,0,,,0
2026-09-08,6487,4,4,4,34649,63996,1788820760271
2026-09-08,6488,0,0,0,,,0
2026-09-08,6489,13,13,12,41057,500000000,1788845114675
2026-09-08,6490,1,1,1,99999,99999,1788648075547
2026-09-08,6491,2,2,2,500,888,1788768208952
2026-09-08,6492,3,3,2,10000,30000,1788738829976
2026-09-08,6494,7,7,5,11994,18750,1788828482517
2026-09-08,6501,1,1,1,10000000,10000000,1788582197971
2026-09-08,6503,5,5,5,34992,40000,1788582202986
2026-09-08,6505,8,8,8,1777,14000,1788586977343
2026-09-08,6506,2,2,2,19996,55000,1788757351785
2026-09-08,6507,2,2,2,83999,84994,1788582211032
2026-09-08,6508,1,1,1,1000000,1000000,1788309797250
2026-09-08,6509,9,9,9,8957,20000,1788747025239
2026-09-08,6510,5,5,5,299989,299999,1788839215869
2026-09-08,6511,0,0,0,,,0
2026-09-08,6512,6,6,5,44500,49000,1788648031551
2026-09-08,6513,4,4,4,20000,20000,1788811830889
2026-09-08,6514,0,0,0,,,0
2026-09-08,6515,0,0,0,,,0
2026-09-08,6516,3,3,3,170000,500000,1788566852249
2026-09-08,6517,2,2,2,109999,109999,1788644969068
2026-09-08,6518,0,0,0,,,0
